,gt,alt,flight_num,flight_path_file
0,dataset/gt/13_1987.npy,dataset/alt/13_1987_alt.npy,13,dublaz/F_150326_151147.laz
1,dataset/gt/27_4666.npy,dataset/alt/27_4666_alt.npy,27,dublaz/F_150326_132400.laz
2,dataset/gt/37_108.npy,dataset/alt/37_108_alt.npy,37,dublaz/F_150326_160709.laz
3,dataset/gt/13_1723.npy,dataset/alt/13_1723_alt.npy,13,dublaz/F_150326_151147.laz
4,dataset/gt/22_386.npy,dataset/alt/22_386_alt.npy,22,dublaz/F_150326_123922.laz
5,dataset/gt/13_1490.npy,dataset/alt/13_1490_alt.npy,13,dublaz/F_150326_151147.laz
6,dataset/gt/27_1278.npy,dataset/alt/27_1278_alt.npy,27,dublaz/F_150326_132400.laz
7,dataset/gt/19_1330.npy,dataset/alt/19_1330_alt.npy,19,dublaz/F_150326_154909.laz
8,dataset/gt/19_5410.npy,dataset/alt/19_5410_alt.npy,19,dublaz/F_150326_154909.laz
9,dataset/gt/35_411.npy,dataset/alt/35_411_alt.npy,35,dublaz/F_150326_120025.laz
10,dataset/gt/14_473.npy,dataset/alt/14_473_alt.npy,14,dublaz/F_150326_122222.laz
11,dataset/gt/38_47.npy,dataset/alt/38_47_alt.npy,38,dublaz/F_150326_145523.laz
12,dataset/gt/5_1094.npy,dataset/alt/5_1094_alt.npy,5,dublaz/F_150326_160149.laz
13,dataset/gt/1_94.npy,dataset/alt/1_94_alt.npy,1,dublaz/F_150326_125917.laz
14,dataset/gt/27_5866.npy,dataset/alt/27_5866_alt.npy,27,dublaz/F_150326_132400.laz
15,dataset/gt/27_2072.npy,dataset/alt/27_2072_alt.npy,27,dublaz/F_150326_132400.laz
16,dataset/gt/13_152.npy,dataset/alt/13_152_alt.npy,13,dublaz/F_150326_151147.laz
17,dataset/gt/27_427.npy,dataset/alt/27_427_alt.npy,27,dublaz/F_150326_132400.laz
18,dataset/gt/16_616.npy,dataset/alt/16_616_alt.npy,16,dublaz/F_150326_161223.laz
19,dataset/gt/13_1686.npy,dataset/alt/13_1686_alt.npy,13,dublaz/F_150326_151147.laz
20,dataset/gt/20_1110.npy,dataset/alt/20_1110_alt.npy,20,dublaz/F_150326_120854.laz
21,dataset/gt/19_5393.npy,dataset/alt/19_5393_alt.npy,19,dublaz/F_150326_154909.laz
22,dataset/gt/31_898.npy,dataset/alt/31_898_alt.npy,31,dublaz/F_150326_131220.laz
23,dataset/gt/36_20.npy,dataset/alt/36_20_alt.npy,36,dublaz/F_150326_134430.laz
24,dataset/gt/5_1056.npy,dataset/alt/5_1056_alt.npy,5,dublaz/F_150326_160149.laz
25,dataset/gt/18_1079.npy,dataset/alt/18_1079_alt.npy,18,dublaz/F_150326_160443.laz
26,dataset/gt/1_912.npy,dataset/alt/1_912_alt.npy,1,dublaz/F_150326_125917.laz
27,dataset/gt/27_887.npy,dataset/alt/27_887_alt.npy,27,dublaz/F_150326_132400.laz
28,dataset/gt/37_1214.npy,dataset/alt/37_1214_alt.npy,37,dublaz/F_150326_160709.laz
29,dataset/gt/27_4257.npy,dataset/alt/27_4257_alt.npy,27,dublaz/F_150326_132400.laz
30,dataset/gt/37_628.npy,dataset/alt/37_628_alt.npy,37,dublaz/F_150326_160709.laz
31,dataset/gt/13_689.npy,dataset/alt/13_689_alt.npy,13,dublaz/F_150326_151147.laz
32,dataset/gt/37_1320.npy,dataset/alt/37_1320_alt.npy,37,dublaz/F_150326_160709.laz
33,dataset/gt/13_353.npy,dataset/alt/13_353_alt.npy,13,dublaz/F_150326_151147.laz
34,dataset/gt/13_1479.npy,dataset/alt/13_1479_alt.npy,13,dublaz/F_150326_151147.laz
35,dataset/gt/19_3590.npy,dataset/alt/19_3590_alt.npy,19,dublaz/F_150326_154909.laz
36,dataset/gt/27_5372.npy,dataset/alt/27_5372_alt.npy,27,dublaz/F_150326_132400.laz
37,dataset/gt/9_24.npy,dataset/alt/9_24_alt.npy,9,dublaz/F_150326_131440.laz
38,dataset/gt/1_1031.npy,dataset/alt/1_1031_alt.npy,1,dublaz/F_150326_125917.laz
39,dataset/gt/38_714.npy,dataset/alt/38_714_alt.npy,38,dublaz/F_150326_145523.laz
40,dataset/gt/13_412.npy,dataset/alt/13_412_alt.npy,13,dublaz/F_150326_151147.laz
41,dataset/gt/18_587.npy,dataset/alt/18_587_alt.npy,18,dublaz/F_150326_160443.laz
42,dataset/gt/19_5440.npy,dataset/alt/19_5440_alt.npy,19,dublaz/F_150326_154909.laz
43,dataset/gt/13_512.npy,dataset/alt/13_512_alt.npy,13,dublaz/F_150326_151147.laz
44,dataset/gt/22_445.npy,dataset/alt/22_445_alt.npy,22,dublaz/F_150326_123922.laz
45,dataset/gt/22_164.npy,dataset/alt/22_164_alt.npy,22,dublaz/F_150326_123922.laz
46,dataset/gt/26_82.npy,dataset/alt/26_82_alt.npy,26,dublaz/F_150326_124415.laz
47,dataset/gt/19_5885.npy,dataset/alt/19_5885_alt.npy,19,dublaz/F_150326_154909.laz
48,dataset/gt/19_53.npy,dataset/alt/19_53_alt.npy,19,dublaz/F_150326_154909.laz
49,dataset/gt/27_1630.npy,dataset/alt/27_1630_alt.npy,27,dublaz/F_150326_132400.laz
50,dataset/gt/18_811.npy,dataset/alt/18_811_alt.npy,18,dublaz/F_150326_160443.laz
51,dataset/gt/27_5769.npy,dataset/alt/27_5769_alt.npy,27,dublaz/F_150326_132400.laz
52,dataset/gt/27_3808.npy,dataset/alt/27_3808_alt.npy,27,dublaz/F_150326_132400.laz
53,dataset/gt/20_18.npy,dataset/alt/20_18_alt.npy,20,dublaz/F_150326_120854.laz
54,dataset/gt/13_396.npy,dataset/alt/13_396_alt.npy,13,dublaz/F_150326_151147.laz
55,dataset/gt/14_216.npy,dataset/alt/14_216_alt.npy,14,dublaz/F_150326_122222.laz
56,dataset/gt/31_2587.npy,dataset/alt/31_2587_alt.npy,31,dublaz/F_150326_131220.laz
57,dataset/gt/35_334.npy,dataset/alt/35_334_alt.npy,35,dublaz/F_150326_120025.laz
58,dataset/gt/38_493.npy,dataset/alt/38_493_alt.npy,38,dublaz/F_150326_145523.laz
59,dataset/gt/14_1001.npy,dataset/alt/14_1001_alt.npy,14,dublaz/F_150326_122222.laz
60,dataset/gt/38_830.npy,dataset/alt/38_830_alt.npy,38,dublaz/F_150326_145523.laz
61,dataset/gt/19_5667.npy,dataset/alt/19_5667_alt.npy,19,dublaz/F_150326_154909.laz
62,dataset/gt/35_372.npy,dataset/alt/35_372_alt.npy,35,dublaz/F_150326_120025.laz
63,dataset/gt/27_2602.npy,dataset/alt/27_2602_alt.npy,27,dublaz/F_150326_132400.laz
64,dataset/gt/19_1938.npy,dataset/alt/19_1938_alt.npy,19,dublaz/F_150326_154909.laz
65,dataset/gt/27_4424.npy,dataset/alt/27_4424_alt.npy,27,dublaz/F_150326_132400.laz
66,dataset/gt/19_3818.npy,dataset/alt/19_3818_alt.npy,19,dublaz/F_150326_154909.laz
67,dataset/gt/19_2492.npy,dataset/alt/19_2492_alt.npy,19,dublaz/F_150326_154909.laz
68,dataset/gt/31_2188.npy,dataset/alt/31_2188_alt.npy,31,dublaz/F_150326_131220.laz
69,dataset/gt/35_732.npy,dataset/alt/35_732_alt.npy,35,dublaz/F_150326_120025.laz
